underlying,underlying_quote_timestamp,underlying_bid,underlying_ask,feed,symbol,option_quote_timestamp,bid,ask,bid_size,ask_size,implied_volatility,delta,gamma,theta,vega
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00765000,2026-08-28T19:57:19.616694+00:00,7.63,7.69,111,36,0.1060,0.6851,0.0314,-0.3384,0.3787
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00766000,2026-08-28T19:57:20.196419+00:00,6.88,7.02,72,49,0.1048,0.6544,0.0330,-0.3437,0.3930
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00767000,2026-08-28T19:57:20.093359+00:00,6.27,6.45,88,91,0.1058,0.6196,0.0338,-0.3538,0.4060
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00768000,2026-08-28T19:57:19.847603+00:00,5.59,5.74,72,44,0.1034,0.5871,0.0353,-0.3512,0.4151
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00769000,2026-08-28T19:57:20.238519+00:00,4.83,4.96,117,23,0.0985,0.5537,0.0376,-0.3386,0.4214
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00770000,2026-08-28T19:57:19.546447+00:00,4.34,4.37,128,65,0.0983,0.5159,0.0380,-0.3375,0.4250
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00771000,2026-08-28T19:57:19.623409+00:00,3.75,3.88,40,130,0.0971,0.4776,0.0385,-0.3309,0.4246
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00772000,2026-08-28T19:57:19.715293+00:00,3.32,3.34,26,94,0.0964,0.4388,0.0384,-0.3226,0.4203
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00773000,2026-08-28T19:57:19.616287+00:00,2.84,2.87,100,120,0.0949,0.3994,0.0382,-0.3094,0.4117
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00774000,2026-08-28T19:57:19.620282+00:00,2.42,2.46,1,102,0.0939,0.3604,0.0374,-0.2950,0.3990
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904C00775000,2026-08-28T19:57:19.620543+00:00,1.99,2.02,29,327,0.0913,0.3193,0.0367,-0.2728,0.3809
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00765000,2026-08-28T19:57:20.167040+00:00,2.26,2.29,99,98,0.1049,-0.3132,0.0317,-0.2588,0.3778
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00766000,2026-08-28T19:57:20.203747+00:00,2.54,2.55,98,7,0.1032,-0.3435,0.0334,-0.2626,0.3921
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00767000,2026-08-28T19:57:19.075443+00:00,2.85,2.88,106,65,0.1021,-0.3764,0.0349,-0.2660,0.4047
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00768000,2026-08-28T19:57:20.243743+00:00,3.22,3.23,134,6,0.1012,-0.4111,0.0361,-0.2678,0.4147
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00769000,2026-08-28T19:57:20.166624+00:00,3.52,3.62,41,6,0.0991,-0.4465,0.0374,-0.2636,0.4215
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00770000,2026-08-28T19:57:20.196461+00:00,3.98,4.059,116,3,0.0986,-0.4841,0.0379,-0.2616,0.4250
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00771000,2026-08-28T19:57:19.618863+00:00,4.36,4.54,149,108,0.0967,-0.5225,0.0386,-0.2529,0.4246
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00772000,2026-08-28T19:57:20.209937+00:00,4.82,4.98,43,95,0.0944,-0.5625,0.0391,-0.2397,0.4201
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00773000,2026-08-28T19:57:19.693005+00:00,5.45,5.52,19,55,0.0944,-0.6012,0.0384,-0.2308,0.4115
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00774000,2026-08-28T19:57:20.234024+00:00,5.92,6.21,32,16,0.0933,-0.6405,0.0376,-0.2158,0.3986
SPY,2026-08-28T19:57:18.870903+00:00,769.81,769.83,indicative,SPY260904P00775000,2026-08-28T19:57:20.228041+00:00,6.65,6.66,163,144,0.0914,-0.6807,0.0367,-0.1957,0.3809
