symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2026-06-01T04:00:00+00:00,737.3,745.62,736.07,742.6,581718,10383,741.677712
QQQ,2026-06-02T04:00:00+00:00,742.46,746.435,739.25,746.1,586617,11808,744.275095
QQQ,2026-06-03T04:00:00+00:00,747.45,748.43,741.04,744.205,819205,15477,744.470786
QQQ,2026-06-04T04:00:00+00:00,735.3,743.48,732.62,740.5,739330,14009,739.272302
QQQ,2026-06-05T04:00:00+00:00,729.73,731.62,704.33,705.375,1816869,32743,715.080218
QQQ,2026-06-08T04:00:00+00:00,717.82,723.01,713.09,716.05,1075556,19001,718.115602
QQQ,2026-06-09T04:00:00+00:00,722.99,725.62,686.43,707.86,2175988,32707,702.821513
QQQ,2026-06-10T04:00:00+00:00,701.25,711.17,693,693.7,1291363,22607,699.772837
QQQ,2026-06-11T04:00:00+00:00,699.02,718.32,695.12,716.63,1102245,19560,708.642172
QQQ,2026-06-12T04:00:00+00:00,717.645,723.98,711.36,721.31,996416,18641,719.419547
QQQ,2026-06-15T04:00:00+00:00,738.05,744.72,737.42,743.81,684706,14190,742.324645
QQQ,2026-06-16T04:00:00+00:00,742.27,744.21,729.66,729.87,927839,15490,735.072041
QQQ,2026-06-17T04:00:00+00:00,735.27,735.51,720.85,722.48,717786,12793,728.932303
QQQ,2026-06-18T04:00:00+00:00,736.74,741.8,732.6,739.82,1145282,20443,738.079594
QQQ,2026-06-22T04:00:00+00:00,742.075,745.32,734.41,738.1,641989,11276,738.169338
QQQ,2026-06-23T04:00:00+00:00,715.45,723.52,712.13,713.58,941622,14845,716.737894
QQQ,2026-06-24T04:00:00+00:00,715.09,719.92,704.51,710.6,774304,14153,711.639007
QQQ,2026-06-25T04:00:00+00:00,725.84,726.64,705.32,716.315,822602,13118,714.476014
QQQ,2026-06-26T04:00:00+00:00,707.12,715.555,702.945,705.62,721285,12610,710.349172
QQQ,2026-06-29T04:00:00+00:00,714.04,724.56,705.29,723.95,676958,11263,718.00183
QQQ,2026-06-30T04:00:00+00:00,724.37,737.62,724,736.07,745029,9995,733.976015
QQQ,2026-07-01T04:00:00+00:00,729.195,731.82,724.61,725.32,612929,9465,727.814573
QQQ,2026-07-02T04:00:00+00:00,725.51,730.8,707.61,712.53,885121,12984,715.896697
QQQ,2026-07-06T04:00:00+00:00,719.65,726.03,718.58,722.68,638062,9497,723.229919
QQQ,2026-07-07T04:00:00+00:00,714.125,716.27,704.92,709.48,733169,11274,709.84297
QQQ,2026-07-08T04:00:00+00:00,704.94,712.235,700.98,711.37,544838,9288,707.431885
QQQ,2026-07-09T04:00:00+00:00,718.4,724.23,715.2,723.21,469365,8788,721.737477
QQQ,2026-07-10T04:00:00+00:00,721.08,726.39,717.04,725.595,440548,7691,723.699174
QQQ,2026-07-13T04:00:00+00:00,717.85,718.625,710.17,711.85,377674,6979,713.636143
QQQ,2026-07-14T04:00:00+00:00,720.07,722.18,714.41,719.71,375709,7575,719.695683
QQQ,2026-07-15T04:00:00+00:00,724.16,724.31,710.27,717.7,472080,8800,716.416493
QQQ,2026-07-16T04:00:00+00:00,712.27,713.55,702.62,705.93,580477,10191,707.755545
QQQ,2026-07-17T04:00:00+00:00,691.68,702.24,686.78,695.31,797822,12390,695.692327
QQQ,2026-07-20T04:00:00+00:00,702.35,705.78,695.53,695.97,540263,8628,700.245772
QQQ,2026-07-21T04:00:00+00:00,706.595,710.04,702.81,708.78,604623,8527,708.137934
QQQ,2026-07-22T04:00:00+00:00,703.63,709.62,703.63,705.19,358335,6466,707.148575
QQQ,2026-07-23T04:00:00+00:00,694.53,698.65,687.8,691.98,607598,10176,692.334304
QQQ,2026-07-24T04:00:00+00:00,690.34,692.59,682.5,684.33,648574,8885,686.838725
QQQ,2026-07-27T04:00:00+00:00,691.785,692.23,676.09,682.13,545912,9428,681.502853
QQQ,2026-07-28T04:00:00+00:00,676.045,679.25,667.9,675.4,610036,8475,674.590744
QQQ,2026-07-29T04:00:00+00:00,675.215,680,661.15,661.6,700402,9981,668.621128
QQQ,2026-07-30T04:00:00+00:00,674.695,685.09,673.43,683.6,842770,11102,680.845006
QQQ,2026-07-31T04:00:00+00:00,692.115,695.665,680.205,687.89,655653,9971,687.485746
QQQ,2026-08-03T04:00:00+00:00,688.29,701.55,686.025,700.095,632043,8125,697.096669
QQQ,2026-08-04T04:00:00+00:00,708.48,725.615,707.64,723.69,806018,12867,720.113626
QQQ,2026-08-05T04:00:00+00:00,726.29,728.42,716.945,717.1,391788,7973,722.632202
QQQ,2026-08-06T04:00:00+00:00,710.5,719.27,708.59,714.7,483664,8683,715.426093
